DateLocal,T,WindDir,WindSpd,RH,P,City
2019-04-10 03:00:00,74.5500030517578,143.001007080078,9.55000019073486,41,1012.34997558594,San Jose
2019-04-10 06:00:00,69.4000015258789,151.501998901367,11.3199996948242,47,1012,San Jose
2019-04-10 09:00:00,65.6100006103516,165.501998901367,10.7799997329712,64,1010.25,San Jose
2019-04-10 12:00:00,63.0099983215332,167.5,10.9799995422363,81,1009.70001220703,San Jose
2019-04-10 15:00:00,73.8000030517578,165.005996704102,13.8900003433228,58,1009.51000976563,San Jose
2019-04-10 18:00:00,87.8600006103516,167,18.4500007629395,43,1007.32000732422,San Jose
2019-04-10 21:00:00,94.0699996948242,170.503005981445,20.4899997711182,32,1003.59997558594,San Jose
2019-04-11 00:00:00,91.5500030517578,164.5,19.8199996948242,26,1001.25,San Jose
2019-04-11 03:00:00,82.6900024414063,165.505004882813,19.1499996185303,28,1002.14001464844,San Jose
2019-04-11 06:00:00,76.7099990844727,170.501007080078,18.0300006866455,37,1002.09997558594,San Jose
2019-04-11 09:00:00,73.8600006103516,177.503005981445,17.1599998474121,42,1000.76000976563,San Jose
2019-04-11 12:00:00,69.6800003051758,206.501007080078,7.17999982833862,43,1003.29998779297,San Jose
2019-04-11 15:00:00,79.5800018310547,8.50131034851074,6.07999992370605,41,1006.08001708984,San Jose
2019-04-11 18:00:00,88.2699966430664,5.00116014480591,16.4400005340576,32,1007.53997802734,San Jose
2019-04-11 21:00:00,89.0100021362305,354.501007080078,13.2200002670288,20,1006.54998779297,San Jose
2019-04-12 00:00:00,84.8199996948242,350.502990722656,8.75,17,1006.46997070313,San Jose
2019-04-12 03:00:00,73.5299987792969,30.5028991699219,7.40000009536743,20,1008.17999267578,San Jose
2019-04-12 06:00:00,66.7099990844727,109,7.38000011444092,33,1008.96002197266,San Jose
2019-04-12 09:00:00,60.2200012207031,119.001998901367,3.69000005722046,85,1008.65002441406,San Jose
2019-04-12 12:00:00,58.310001373291,72.0037994384766,4.5,84,1009.47998046875,San Jose
2019-04-12 15:00:00,73.5400009155273,88.5001983642578,8.77000045776367,70,1010.47998046875,San Jose
2019-04-12 18:00:00,83.4400024414063,107.500999450684,15.2299995422363,51,1009.75,San Jose
2019-04-07 21:00:00,67.6800003051758,162.001998901367,12.460000038147,63,1011.04998779297,Novi
2019-04-08 00:00:00,65.6800003051758,191.5,14.1199998855591,77,1007.96997070313,Novi
2019-04-08 03:00:00,59.9900016784668,226.003005981445,14.2299995422363,96,1007.26000976563,Novi
2019-04-08 06:00:00,57.3300018310547,261.006988525391,17.6000003814697,95,1007.19000244141,Novi
2019-04-08 09:00:00,51.9000015258789,273.507995605469,14.2700004577637,91,1008.03997802734,Novi
2019-04-08 12:00:00,52.1399993896484,253.001007080078,10.9799995422363,95,1008.67999267578,Novi
2019-04-08 15:00:00,57.2000007629395,275.502014160156,11.3400001525879,92,1009.5,Novi
2019-04-08 18:00:00,63.0200004577637,289.009002685547,11.539999961853,79,1009.34002685547,Novi
2019-04-08 21:00:00,65.1500015258789,294.502014160156,12.4399995803833,56,1008.96002197266,Novi
2019-04-09 00:00:00,59.2799987792969,286.502990722656,6.61999988555908,54,1008.63000488281,Novi
2019-04-09 03:00:00,50.6500015258789,246.501998901367,7.09000015258789,61,1008.54998779297,Novi
2019-04-09 06:00:00,49.9199981689453,235.509994506836,12.0600004196167,59,1007.09997558594,Novi
2019-04-09 09:00:00,50.9000015258789,276.006011962891,17.6900005340576,79,1005.71997070313,Novi
2019-04-09 12:00:00,44.5499992370605,311.001007080078,18.5,72,1007.95001220703,Novi
2019-04-09 15:00:00,50.4599990844727,317.003997802734,15.3500003814697,62,1009.39001464844,Novi
2019-04-09 18:00:00,55.7099990844727,302.5,13.6899995803833,61,1009.08001708984,Novi
2019-04-09 21:00:00,55.1699981689453,300.5,16.3500003814697,59,1008.71002197266,Novi
2019-04-10 00:00:00,49.560001373291,324.502014160156,14.289999961853,58,1010.58001708984,Novi
2019-04-10 03:00:00,43.8600006103516,338.501007080078,7.98999977111816,61,1012.75,Novi
2019-04-10 06:00:00,40.1500015258789,351.502014160156,7.73999977111816,63,1013.91998291016,Novi
2019-04-10 09:00:00,35.6399993896484,356.002014160156,7.30999994277954,64,1014.96997070313,Novi
2019-04-10 12:00:00,32.5900001525879,7.00046014785767,6.40000009536743,65,1016.14001464844,Novi
2019-04-10 15:00:00,39.9599990844727,10.5060997009277,4.71999979019165,64,1016.90997314453,Novi
2019-04-10 18:00:00,44.0299987792969,34.0004997253418,4.25,63,1015.88000488281,Novi
2019-04-10 21:00:00,46.6399993896484,58.0026016235352,4.82999992370605,58,1015.47998046875,Novi
2019-04-11 00:00:00,40.1599998474121,83,8.85999965667725,78,1016.04998779297,Novi
2019-04-11 03:00:00,32.7400016784668,77.5047988891602,10.1300001144409,92,1016.53997802734,Novi
2019-04-11 06:00:00,32.3400001525879,69.5012969970703,10.9799995422363,96,1015.21997070313,Novi
2019-04-11 09:00:00,33.9000015258789,94.5030975341797,13.0200004577637,97,1013.03997802734,Novi
2019-04-11 12:00:00,35.6599998474121,103.000999450684,17.25,95,1011.21997070313,Novi
2019-04-11 15:00:00,41.7799987792969,111.000999450684,18.0499992370605,92,1008.71997070313,Novi
2019-04-11 18:00:00,52.0900001525879,132.501007080078,14.8800001144409,86,1004.29998779297,Novi
2019-04-11 21:00:00,60.75,166.001007080078,12.6599998474121,86,1001.34997558594,Novi
2019-04-12 00:00:00,57.5499992370605,185.003005981445,13,98,1001.15002441406,Novi
2019-04-12 03:00:00,57.3300018310547,184.003005981445,14.6700000762939,95,1000.17999267578,Novi
2019-04-12 06:00:00,54.1100006103516,226.5,15.8800001144409,100,999.919982910156,Novi
2019-04-12 09:00:00,49.8699989318848,213.001998901367,6.48999977111816,95,1000.36999511719,Novi
2019-04-12 12:00:00,45.7999992370605,263.003997802734,9.42000007629395,96,1002.55999755859,Novi
2019-04-12 15:00:00,48.1599998474121,233.5,14.0299997329712,84,1003.11999511719,Novi
2019-04-12 18:00:00,44.8199996948242,223.001007080078,22.0599994659424,78,1003.83001708984,Novi
2019-04-07 21:00:00,70.2099990844727,163.001998901367,9.10000038146973,48,1020.28997802734,Washington DC.
2019-04-08 00:00:00,66.3300018310547,164.5,9.1899995803833,55,1019.25,Washington DC.
2019-04-08 03:00:00,63.8800010681152,166.503005981445,10.539999961853,62,1017.78002929688,Washington DC.
2019-04-08 06:00:00,61.2000007629395,185.50700378418,10.2200002670288,79,1015.83001708984,Washington DC.
2019-04-08 09:00:00,60.9900016784668,213.007995605469,9.01000022888184,85,1013.47998046875,Washington DC.
2019-04-08 12:00:00,63.4799995422363,222.001007080078,8.75,82,1012.84002685547,Washington DC.
2019-04-08 15:00:00,71.5999984741211,233.501998901367,8.98999977111816,65,1011.90002441406,Washington DC.
2019-04-08 18:00:00,75.3499984741211,248.509002685547,10.9799995422363,57,1009.90002441406,Washington DC.
2019-04-08 21:00:00,77.3000030517578,261.502014160156,11.9899997711182,49,1008,Washington DC.
2019-04-09 00:00:00,72.5100021362305,283.502990722656,7.51999998092651,49,1007.90997314453,Washington DC.
2019-04-09 03:00:00,66.129997253418,320.502014160156,4.28999996185303,62,1008.59002685547,Washington DC.
2019-04-09 06:00:00,60.810001373291,221.009994506836,3.22000002861023,87,1007.5,Washington DC.
2019-04-09 09:00:00,58.9099998474121,168.505996704102,3.26999998092651,91,1004.64001464844,Washington DC.
